"scenario","year","variable","value","units","parameter_value"
"Ref_50",1958,"Tgav",0.501430766459909,"degC","ECS_2"
"Ref_50",1959,"Tgav",0.512218464007359,"degC","ECS_2"
"Ref_50",1960,"Tgav",0.516657420853297,"degC","ECS_2"
"Ref_50",1961,"Tgav",0.515024456888662,"degC","ECS_2"
"Ref_50",1962,"Tgav",0.510608520935582,"degC","ECS_2"
"Ref_50",1963,"Tgav",0.469839244697061,"degC","ECS_2"
"Ref_50",1964,"Tgav",0.411869403503705,"degC","ECS_2"
"Ref_50",1965,"Tgav",0.400542893509879,"degC","ECS_2"
"Ref_50",1966,"Tgav",0.429906113397728,"degC","ECS_2"
"Ref_50",1967,"Tgav",0.464759751968497,"degC","ECS_2"
"Ref_50",1968,"Tgav",0.474285621623603,"degC","ECS_2"
"Ref_50",1969,"Tgav",0.475846159948918,"degC","ECS_2"
"Ref_50",1970,"Tgav",0.500557637562619,"degC","ECS_2"
"Ref_50",1971,"Tgav",0.537741735555981,"degC","ECS_2"
"Ref_50",1972,"Tgav",0.571733483933441,"degC","ECS_2"
"Ref_50",1973,"Tgav",0.595863432781984,"degC","ECS_2"
"Ref_50",1974,"Tgav",0.604865843805547,"degC","ECS_2"
"Ref_50",1975,"Tgav",0.607206638324347,"degC","ECS_2"
"Ref_50",1976,"Tgav",0.624338203601141,"degC","ECS_2"
"Ref_50",1977,"Tgav",0.655197477525668,"degC","ECS_2"
"Ref_50",1978,"Tgav",0.680396054943741,"degC","ECS_2"
